Hylian Hood,"Clothes,Hylian Gear,Rupee",0
Hylian Tunic,"Clothes,Hylian Gear,Rupee,Rupee",0
Warm Doublet,"Clothes,Cold Resistance,Hateno",0
3 Great Plateau Koroks,"Korok,Plateau",0
Hylian Trousers,"Clothes,Hylian Gear,Rupee",0
Any 'Boko' Equipment item,Equipment,0
Rock-Hard Food,Cooking,0
3 Dueling Peaks Koroks,"Korok,Dueling Peaks",1
3 Central Tower Koroks,"Korok,Central Hyrule",1
5 Koroks,Korok,1
Any 'Rusty' Equipment item,Equipment,1
Soup Ladle,Equipment,1
Any Spicy meal,"Cooking,Cold Resistance",1
3 Hateno Koroks,"Korok,Hateno",2
3 Faron Koroks,"Korok,Faron",2
3 Ridgeland Koroks,"Korok,Ridgeland",2
Any Energizing meal,"Cooking,Stamina",2
Give Beedle a Beetle,Horse,2
Register a Horse,Horse,2
Anger a Cucco,Cucco,2
Activate Dueling Peaks Tower,"Tower,Dueling Peaks",2
1 Koko Cooking Side Quest,"Side Quest,Dueling Peaks",2
Any Hasty meal,Cooking,2
5 Great Plateau Koroks,"Korok,Plateau",3
3 Lake Tower Koroks,"Korok,Lake",3
'Playtime with Cottla' Side Quest,"Side Quest,Dueling Peaks",3
'Watch Out for the Flowers' Shrine Quest,"Shrine,Shrine Quest,Dueling Peaks",3
Any Enduring meal,"Cooking,Stamina",3
Any Mighty meal,Cooking,3
Any Sneaky meal,Cooking,3
Dubious Food,Cooking,3
Any Stalfos 'Arm' Equipment item,Equipment,3
6 Dueling Peaks Koroks,"Korok,Dueling Peaks",4
3 Wasteland Koroks,"Korok,Wasteland",4
3 Woodland Koroks,"Korok,Woodland",4
3 Lanayru Koroks,"Korok,Lanayru",4
'The Priceless Maracas' Side Quest,"Side Quest,Dueling Peaks",4
'Wild Horses' Side Quest,"Side Quest,Dueling Peaks,Horse",4
'The Statue's Bargain' Side Quest,"Side Quest,Hateno",4
Open 2 Bokoblin Camp Chests,Plateau,4
Save a Traveler in Peril,Monster,4
3 Side Quests,Side Quest,4
Activate Lake Tower,"Tower,Lake",5
3 Tabantha Koroks,"Korok,Tabantha",5
10 Koroks,Korok,5
Pay 1 Great Fairy,"Rupee,Great Fairy",5
Full Hylian Set,"Clothes,Hylian Gear,Rupee",5
2 Koko Cooking Side Quests,"Side Quest,Dueling Peaks",5
'Arrows of Burning Heat' Side Quest,"Side Quest,Dueling Peaks",5
Any Hearty meal,Cooking,5
Hasty Elixir,Cooking,5
Mighty Elixir,Cooking,5
Sneaky Elixir,Cooking,5
3 Eldin Koroks,"Korok,Eldin",6
3 Akkala Koroks,"Korok,Akkala",6
Soldier's Helm,"Clothes,Soldier Gear,Rupee,Hateno",6
Soldier's Armor,"Clothes,Soldier Gear,Rupee,Hateno",6
Soldier's Greaves,"Clothes,Soldier Gear,Rupee,Hateno",6
Stealth Mask,"Clothes,Stealth Gear,Rupee,Dueling Peaks",6
Stealth Tights,"Clothes,Stealth Gear,Rupee,Dueling Peaks",6
Climber's Bandanna,"Clothes,Climbing Gear,Dueling Peaks",6
'Flown the Coop' Side Quest,"Side Quest,Dueling Peaks,Heirloom",6
